일시,기온(°C),풍향(deg),풍속(m/s),강수량(mm)
1999-07-30 9:00,24,106.6,3.2,105.5
1999-07-30 10:00,24.5,12.4,2.5,105.5
1999-07-30 11:00,24.2,272.6,2.8,105.5
1999-07-30 12:00,24.2,72.1,3.1,105.5
1999-07-30 13:00,24.5,36.2,2.9,105.5
1999-07-30 14:00,24.6,23.8,2.6,105.5
1999-07-30 15:00,24.1,160.2,2.8,105.5
1999-07-30 16:00,23.4,43.7,2.3,105.5
1999-07-30 17:00,23.8,8.5,2.4,105.5
1999-07-30 18:00,23.9,,,105.5
1999-07-30 19:00,24.1,58.6,1.4,105.5
1999-07-30 20:00,24.1,109.6,0.9,105.5
1999-07-30 21:00,24.1,24.2,0.8,105.5
1999-07-30 22:00,24.2,140.8,1.4,105.5
1999-07-30 23:00,24.2,20.7,0.9,105.5
1999-07-31 0:00,23.8,74.4,1.3,8
1999-07-31 1:00,23.7,230.2,0.5,8
1999-07-31 2:00,23.5,54.8,1.4,8
1999-07-31 3:00,25,359.3,2.5,8
1999-07-31 4:00,25,339.6,2.8,8
1999-07-31 5:00,24.9,359.3,2.1,8
1999-07-31 6:00,25.1,30.8,1.9,8
1999-07-31 7:00,25.3,79.3,2.5,8
1999-07-31 8:00,25.6,3.9,2.2,8
1999-07-31 9:00,25.3,323.5,1.7,8
1999-07-31 10:00,26,109.6,2.3,8
1999-07-31 11:00,25.9,52,2.1,8
1999-07-31 12:00,25.8,254.6,2.1,8
1999-07-31 13:00,26.5,359.1,2.2,8
1999-07-31 14:00,26.7,16.5,2.5,8
1999-07-31 15:00,27.1,48.3,2.6,8
1999-07-31 16:00,27,47.6,2.1,8
1999-07-31 17:00,27.9,203.5,1.9,8
1999-07-31 18:00,26.9,42.6,1.9,8
1999-07-31 19:00,26.4,310.8,0.8,8
1999-07-31 20:00,25.6,168.8,0.8,8
1999-07-31 21:00,25.5,171.2,1.5,8
1999-07-31 22:00,25.2,185.9,0.7,8
1999-07-31 23:00,25.5,173.8,1.1,8
1999-08-01 0:00,25.5,160.5,0.5,0
1999-08-01 1:00,25.5,127,0.7,0
1999-08-01 2:00,25.2,157.8,1.2,0
1999-08-01 3:00,25.5,1.4,1.2,0
1999-08-01 4:00,25.6,5.1,1.3,0
1999-08-01 5:00,25.7,12.6,1.7,0
1999-08-01 6:00,25.6,21.3,1.8,0
